time,measured_position,estimated_position, error, K1, K2, estimated_velocity
33.1,39.0805,40.1384,-5.28907,0.8,0.2,2.65936
33.2,34.7992,35.9202,-5.60513,0.8,0.2,1.53834
33.3,30.9971,32.0125,-5.07693,0.8,0.2,0.522949
33.4,28.4813,29.198,-3.58347,0.8,0.2,-0.193746
33.5,27.8448,28.1115,-1.33383,0.8,0.2,-0.460511
33.6,29.0467,28.8504,0.981159,0.8,0.2,-0.264279
33.7,31.4157,30.8973,2.59166,0.8,0.2,0.254053
33.8,34.0989,33.4637,3.17621,0.8,0.2,0.889294
33.9,36.4004,35.8309,2.84779,0.8,0.2,1.45885
34,37.8565,37.4805,1.87976,0.8,0.2,1.8348
34.1,38.2041,38.0961,0.54007,0.8,0.2,1.94282
34.2,37.3369,37.5276,-0.953426,0.8,0.2,1.75213
34.3,35.2713,35.7576,-2.43157,0.8,0.2,1.26582
34.4,32.1196,32.8725,-3.76456,0.8,0.2,0.512908
34.5,28.0702,29.0409,-4.85359,0.8,0.2,-0.457811
34.6,23.3731,24.4975,-5.62205,0.8,0.2,-1.58222
34.7,18.3422,19.5416,-5.99706,0.8,0.2,-2.78163
34.8,13.4094,14.5802,-5.85408,0.8,0.2,-3.95245
34.9,9.35818,10.3235,-4.82678,0.8,0.2,-4.9178
35,7.79845,8.20511,-2.03332,0.8,0.2,-5.32447
35.1,9.62753,9.23655,1.95487,0.8,0.2,-4.93349
35.2,13.0999,12.2285,4.35664,0.8,0.2,-4.06216
35.3,16.8688,15.8595,5.04653,0.8,0.2,-3.05286
35.4,20.4889,19.502,4.93468,0.8,0.2,-2.06592
35.5,23.84,22.9311,4.54463,0.8,0.2,-1.157
35.6,26.9106,26.0916,4.09519,0.8,0.2,-0.337959
35.7,29.7185,28.9863,3.66073,0.8,0.2,0.394188
35.8,32.2707,31.6217,3.24492,0.8,0.2,1.04317
35.9,34.5397,33.9769,2.81365,0.8,0.2,1.6059
36,36.4528,35.9897,2.31529,0.8,0.2,2.06896
36.1,37.8935,37.5542,1.69689,0.8,0.2,2.40834
36.2,38.7121,38.5287,0.917126,0.8,0.2,2.59176
36.3,38.7433,38.7522,-0.0446129,0.8,0.2,2.58284
36.4,37.8272,38.0638,-1.18328,0.8,0.2,2.34618
36.5,35.8326,36.3258,-2.46584,0.8,0.2,1.85301
36.6,32.6807,33.4468,-3.83039,0.8,0.2,1.08694
36.7,28.3736,29.41,-5.1819,0.8,0.2,0.0505582
36.8,23.042,24.3166,-6.37299,0.8,0.2,-1.22404
36.9,17.0778,18.5011,-7.11637,0.8,0.2,-2.64731
37,11.6794,12.9908,-6.55696,0.8,0.2,-3.95871
37.1,10.4103,10.8472,-2.18464,0.8,0.2,-4.39563
37.2,15.3273,14.3434,4.9196,0.8,0.2,-3.41171
37.3,22.7929,21.0347,8.79069,0.8,0.2,-1.65358
37.4,30.6166,28.6672,9.74724,0.8,0.2,0.295873
37.5,37.903,36.0617,9.20621,0.8,0.2,2.13712
37.6,44.1058,42.5398,7.83041,0.8,0.2,3.7032
37.7,48.8204,47.6383,5.91029,0.8,0.2,4.88526
37.8,51.7465,51.0226,3.61968,0.8,0.2,5.60919
37.9,52.69,52.4687,1.10648,0.8,0.2,5.83049
38,51.5693,51.8658,-1.48241,0.8,0.2,5.53401
38.1,48.4203,49.2201,-3.99892,0.8,0.2,4.73422
38.2,43.3947,44.6545,-6.29875,0.8,0.2,3.47447
38.3,36.7526,38.4025,-8.2493,0.8,0.2,1.82461
38.4,28.8504,30.7973,-9.73461,0.8,0.2,-0.122311
38.5,20.1364,22.2662,-10.6486,0.8,0.2,-2.25203
38.6,11.2354,13.3965,-10.8056,0.8,0.2,-4.41314
38.7,4.5011,6.19192,-8.45409,0.8,0.2,-6.10396
38.8,9.00133,8.31737,3.41979,0.8,0.2,-5.42
38.9,16.5882,14.8257,8.81289,0.8,0.2,-3.65743
39,23.518,21.7064,9.05812,0.8,0.2,-1.8458
39.1,29.3546,27.7881,7.83276,0.8,0.2,-0.27925
39.2,33.9964,32.7492,6.23631,0.8,0.2,0.968013
39.3,37.4882,36.5597,4.64219,0.8,0.2,1.89645
39.4,39.9708,39.3265,3.22142,0.8,0.2,2.54074
39.5,41.6356,41.2246,2.05502,0.8,0.2,2.95174
39.6,42.6701,42.4401,1.15035,0.8,0.2,3.18181
39.7,43.2049,43.1156,0.446663,0.8,0.2,3.27114
39.8,43.2768,43.31,-0.165855,0.8,0.2,3.23797
39.9,42.8238,42.9858,-0.80999,0.8,0.2,3.07597
40,41.713,42.0291,-1.58036,0.8,0.2,2.7599
40.1,39.7925,40.295,-2.51261,0.8,0.2,2.25738
40.2,36.9508,37.6648,-3.57,0.8,0.2,1.54338
40.3,33.1743,34.1032,-4.64483,0.8,0.2,0.614415
40.4,28.6054,29.7173,-5.55926,0.8,0.2,-0.497436
40.5,23.6243,24.833,-6.04322,0.8,0.2,-1.70608
40.6,19.0068,20.1379,-5.65557,0.8,0.2,-2.83719
40.7,16.126,16.8716,-3.7282,0.8,0.2,-3.58283
40.8,16.3837,16.4096,-0.129608,0.8,0.2,-3.60875
40.9,19.4047,18.7335,3.35592,0.8,0.2,-2.93757
41,23.4806,22.4724,5.04081,0.8,0.2,-1.92941
41.1,27.2665,26.2691,4.9871,0.8,0.2,-0.931991
41.2,29.9826,29.2213,3.80666,0.8,0.2,-0.170659
41.3,31.1874,30.7908,1.98322,0.8,0.2,0.225986
41.4,30.6569,30.6882,-0.156498,0.8,0.2,0.194686
41.5,28.3351,28.8096,-2.37257,0.8,0.2,-0.279827
41.6,24.3101,25.2044,-4.47147,0.8,0.2,-1.17412
41.7,18.7951,20.0535,-6.29196,0.8,0.2,-2.43251
41.8,12.1102,13.6502,-7.69999,0.8,0.2,-3.97251
41.9,4.71451,6.4222,-8.53845,0.8,0.2,-5.6802
42,3.60682,4.05629,-2.24737,0.8,0.2,-6.12967
42.1,11.2581,9.6951,7.81474,0.8,0.2,-4.56672
42.2,18.5713,16.7048,9.33291,0.8,0.2,-2.70014
42.3,25.0584,23.3337,8.62365,0.8,0.2,-0.975414
