time,predicted_position,filtered_position,position_error,kalman_gain_position,kalman_gain_velocity
42.4,2.07104,2.25386,1.14953,0.159035,0.0917043
42.5,1.84659,2.48041,3.98541,0.159035,0.0917041
42.6,2.10968,3.1524,6.55654,0.159035,0.0917044
42.7,2.84181,4.2172,8.64833,0.159035,0.0917042
42.8,3.98592,5.59217,10.1,0.159035,0.091704
42.9,5.45351,7.17091,10.7989,0.159035,0.0917043
43,7.13127,8.83098,10.6877,0.159035,0.0917041
43.1,8.88936,10.4435,9.77255,0.159035,0.0917044
43.2,10.5915,11.8842,8.12814,0.159035,0.0917042
43.3,12.1067,13.0452,5.90097,0.159035,0.091704
43.4,13.3218,13.8488,3.31344,0.159035,0.0917043
43.5,14.1558,14.2629,0.673339,0.159035,0.0917041
43.6,14.5761,14.3203,-1.60859,0.159035,0.0917044
43.7,14.6187,14.1376,-3.02565,0.159035,0.0917042
43.8,14.4083,13.9065,-3.15537,0.159035,0.091704
43.9,14.1482,13.8179,-2.07714,0.159035,0.0917043
44,14.0406,13.9715,-0.434532,0.159035,0.0917041
44.1,14.1903,14.3598,1.06617,0.159035,0.0917044
44.2,14.5883,14.9025,1.97555,0.159035,0.0917042
44.3,15.1491,15.4838,2.1046,0.159035,0.091704
44.4,15.7498,15.9819,1.45931,0.159035,0.0917043
44.5,16.2612,16.2925,0.196993,0.159035,0.0917041
44.6,16.5736,16.3524,-1.39089,0.159035,0.0917044
44.7,16.6208,16.1631,-2.87829,0.159035,0.0917042
44.8,16.405,15.8121,-3.72858,0.159035,0.091704
44.9,16.0198,15.4667,-3.47791,0.159035,0.0917043
45,15.6426,15.3047,-2.12466,0.159035,0.0917041
45.1,15.4611,15.4253,-0.225403,0.159035,0.0917044
45.2,15.5796,15.8221,1.52483,0.159035,0.0917042
45.3,15.9904,16.4074,2.62174,0.159035,0.091704
45.4,16.5998,17.0447,2.79786,0.159035,0.0917043
45.5,17.2627,17.5768,1.97468,0.159035,0.0917041
45.6,17.8129,17.8474,0.216736,0.159035,0.0917044
45.7,18.0855,17.7198,-2.29933,0.159035,0.0917042
45.8,17.9368,17.094,-5.2996,0.159035,0.091704
