time,measured_position,estimated_position, error, L1, L2, estimated_velocity
36.8,32.3974,26.3668,12.0613,0.5,0.1,3.43658
36.9,36.5848,31.6476,9.87442,0.5,0.1,4.42402
37,39.1994,35.6447,7.10936,0.5,0.1,5.13496
37.1,40.1637,38.1609,4.00548,0.5,0.1,5.53551
37.2,39.5041,39.1093,0.789562,0.5,0.1,5.61446
37.3,37.3512,38.5109,-2.31956,0.5,0.1,5.38251
37.4,33.912,36.4806,-5.13722,0.5,0.1,4.86879
37.5,29.4572,33.2123,-7.51023,0.5,0.1,4.11776
37.6,24.305,28.9646,-9.3191,0.5,0.1,3.18585
37.7,18.7626,24.0229,-10.5206,0.5,0.1,2.13379
37.8,13.1327,18.6845,-11.1036,0.5,0.1,1.02344
37.9,7.65518,13.221,-11.1316,0.5,0.1,-0.0897255
38,2.49432,7.85317,-10.7177,0.5,0.1,-1.1615
38.1,-2.2434,2.74681,-9.98042,0.5,0.1,-2.15954
38.2,-6.3861,-1.92762,-8.91696,0.5,0.1,-3.05123
38.3,-8.45,-5.34137,-6.21726,0.5,0.1,-3.67296
38.4,-5.84989,-5.77928,-0.141215,0.5,0.1,-3.68708
38.5,-1.58144,-3.86471,4.56654,0.5,0.1,-3.23043
38.6,3.16166,-0.513053,7.34942,0.5,0.1,-2.49548
38.7,8.16492,3.70116,8.92752,0.5,0.1,-1.60273
38.8,13.2633,8.40207,9.72237,0.5,0.1,-0.630496
38.9,18.2612,13.3001,9.92218,0.5,0.1,0.361722
39,22.9331,18.1347,9.59683,0.5,0.1,1.32141
39.1,27.0401,22.6535,8.77323,0.5,0.1,2.19873
39.2,30.3666,26.6199,7.49323,0.5,0.1,2.94805
39.3,32.6994,29.8071,5.78467,0.5,0.1,3.52652
39.4,33.8809,32.0203,3.7212,0.5,0.1,3.89864
39.5,33.7964,33.1033,1.38623,0.5,0.1,4.03726
39.6,32.3924,32.9497,-1.11468,0.5,0.1,3.92579
39.7,29.6739,31.5081,-3.66834,0.5,0.1,3.55896
39.8,25.711,28.7875,-6.15303,0.5,0.1,2.94366
39.9,20.645,24.8634,-8.43683,0.5,0.1,2.09997
40,14.6696,19.8715,-10.4038,0.5,0.1,1.05959
40.1,8.06209,14.0198,-11.9154,0.5,0.1,-0.13195
40.2,1.17199,7.58929,-12.8346,0.5,0.1,-1.41541
40.3,-5.28553,1.08111,-12.7333,0.5,0.1,-2.68874
40.4,-7.31664,-3.25221,-8.12887,0.5,0.1,-3.50163
40.5,-2.5003,-3.05133,1.10207,0.5,0.1,-3.39142
40.6,2.72628,-0.332103,6.11676,0.5,0.1,-2.77974
40.7,7.07096,3.23044,7.68103,0.5,0.1,-2.01164
40.8,10.2084,6.61887,7.17917,0.5,0.1,-1.29372
40.9,11.9959,9.24271,5.50644,0.5,0.1,-0.74308
41,12.4013,10.7849,3.23293,0.5,0.1,-0.419787
41.1,11.4916,11.1172,0.748717,0.5,0.1,-0.344915
41.2,9.43122,10.257,-1.65154,0.5,0.1,-0.510069
41.3,6.4793,8.34264,-3.72668,0.5,0.1,-0.882737
41.4,2.98974,5.62205,-5.26462,0.5,0.1,-1.4092
41.5,-0.584601,2.44827,-6.06574,0.5,0.1,-2.01577
